,AIRPORT,LATITUDE,LONGITUDE,DISPLAY_AIRPORT_NAME
172,ABR,45.44833333,-98.4225,Aberdeen Regional
183,ABY,31.53555556,-84.19444444,Southwest Georgia Regional
190,ACB,44.98861111,-85.19833333,Antrim County
202,ACK,41.25305556,-70.06,Nantucket Memorial
204,ACT,31.61222222,-97.23027778,Waco Regional
208,ACV,40.97777778,-124.10833333,Arcata
212,ACY,39.4575,-74.57722222,Atlantic City International
228,ADK,51.87805556,-176.64611111,Adak
232,ADM,34.30416667,-97.02055556,Ardmore Municipal
237,ADQ,57.75,-152.49388889,Kodiak Airport
239,ADS,32.96861111,-96.83638889,Addison
242,ADW,38.81083333,-76.86694444,Joint Base Andrews
249,AED,58.03333333,-152.9,Aleneva Airport
264,AET,66.55194444,-152.62222222,Allakaket Airport
266,AEX,31.3275,-92.54861111,Alexandria International
274,AFF,38.97416667,-104.81777778,USAF Academy Airfield
278,AFK,40.60666667,-95.86666667,Nebraska City Municipal
280,AFO,42.70888889,-110.94222222,Afton Municipal
282,AFP,35.02055556,-80.07722222,Anson County
284,AFW,32.98777778,-97.31888889,Fort Worth Alliance
295,AGC,40.35444444,-79.92916667,Allegheny County
306,AGN,57.50388889,-134.58333333,Angoon Seaplane Base
318,AGS,33.37,-81.96444444,Augusta Regional at Bush Field
329,AHD,34.14694444,-97.12277778,Ardmore Downtown Executive
331,AHN,33.94861111,-83.32638889,Athens/Ben Epps
337,AHT,51.37861111,179.25861111,Amchitka
342,AIA,42.05333333,-102.80361111,Alliance Municipal
343,AIB,56.19,-132.44583333,Anita Bay Airport
345,AID,40.10861111,-85.61305556,Anderson Municipal-Darlington Field
347,AIK,33.64944444,-81.685,Aiken Municipal
349,AIN,70.63805556,-159.99472222,Wainwright Airport
355,AIZ,38.09611111,-92.54944444,Lee C Fine Memorial
375,AKB,52.22055556,-174.20611111,Atka Airport
376,AKC,41.0375,-81.46694444,Akron Fulton International
381,AKI,60.90277778,-161.23055556,Akiak Airport
386,AKK,56.93861111,-154.1825,Akhiok Airport
390,AKN,58.67638889,-156.64861111,King Salmon Airport
392,AKO,40.17555556,-103.22194444,Colorado Plains Regional
394,AKP,68.13361111,-151.74333333,Anaktuvuk Pass Airport
408,AL1,34.22916667,-86.25583333,Albertville Regional-Thomas J Brumlik Field
410,AL2,33.17777778,-86.78333333,Shelby County
413,AL3,34.85944444,-86.5575,Huntsville Executive Airport Tom Sharp Jr
418,ALB,42.74916667,-73.80194444,Albany International
424,ALE,30.38416667,-103.68361111,Alpine Casparis Municipal
433,ALI,27.74083333,-98.02694444,Alice International
439,ALM,32.84138889,-105.98888889,Alamogordo White Sands Regional
441,ALN,38.89,-90.04611111,St. Louis Regional
443,ALO,42.55694444,-92.40027778,Waterloo Regional
451,ALS,37.435,-105.86777778,San Luis Valley Regional/Bergman Field
456,ALW,46.09527778,-118.28583333,Walla Walla Regional
458,ALX,32.91472222,-85.96305556,Thomas C. Russell Field
461,ALZ,56.89583333,-154.24583333,Alitak Seaplane Base
464,AMA,35.21944444,-101.70583333,Rick Husband Amarillo International
475,AMK,37.20305556,-107.86916667,Animas Air Park
482,AMN,43.32222222,-84.68805556,Gratiot Community
491,AMW,41.99194444,-93.62194444,Ames Municipal
495,ANA,33.81666667,-117.93333333,Anaheim-Disneyland HP
498,ANB,33.58805556,-85.85805556,Anniston Regional
502,ANC,61.17416667,-149.99805556,Ted Stevens Anchorage International
504,AND,34.49444444,-82.70944444,Anderson Regional
513,ANI,61.58166667,-159.54305556,Aniak Airport
521,ANN,55.04222222,-131.57083333,Annette Island
526,ANP,38.94277778,-76.56833333,Lee
536,ANV,62.64722222,-160.19,Anvik Airport
540,AOH,40.70833333,-84.02694444,Lima Allen County
550,AOO,40.29638889,-78.32,Altoona-Blair County
553,AOS,57.45472222,-153.81305556,Amook Bay Airport
557,APA,39.57,-104.84944444,Centennial
563,APC,38.21305556,-122.28055556,Napa County
567,APF,26.1525,-81.77555556,Naples Municipal
569,APG,39.46611111,-76.16888889,Phillips AAF
575,APN,45.07805556,-83.56027778,Alpena County Regional
578,APT,35.06055556,-85.58527778,Marion County Brown Field
581,APV,34.57527778,-117.18611111,Apple Valley Airport
596,AQY,60.96888889,-149.11944444,Girdwood Airport
598,AR1,35.25916667,-93.09333333,Russellville Regional
600,AR2,35.08111111,-92.42444444,Dennis F Cantrell Field
603,ARA,30.03777778,-91.88388889,Acadiana Regional
605,ARB,42.22305556,-83.74555556,Ann Arbor Municipal
607,ARC,68.11472222,-145.57944444,Arctic Village Airport
614,ARG,36.12472222,-90.925,Walnut Ridge Regional
634,ART,43.99194444,-76.02055556,Watertown International
637,ARV,45.92805556,-89.73083333,Lakeland/Noble F. Lee Memorial Field
657,ASE,39.22194444,-106.86833333,Aspen Pitkin County Sardy Field
663,ASH,42.7825,-71.51416667,Boire Field
671,ASL,32.52055556,-94.30777778,Harrison County
676,ASN,33.56944444,-86.05111111,Talladega Municipal
684,ASQ,39.46805556,-117.1975,Austin Airport
689,AST,46.15805556,-123.87861111,Astoria Regional
695,ASX,46.54861111,-90.91888889,John F Kennedy Memorial
697,ASY,46.02388889,-99.3525,Ashley Municipal
702,ATE,34.1925,-95.64972222,Antlers Municipal
708,ATK,70.46722222,-157.43555556,Atqasuk Edward Burnell Sr. Memorial
713,ATL,33.63666667,-84.42777778,Hartsfield-Jackson Atlanta International
721,ATO,39.21194444,-82.22916667,Ohio University Snyder Field
729,ATS,32.85166667,-104.46722222,Artesia Municipal
732,ATT,60.86777778,-162.27416667,Atmautluak Airport
734,ATU,52.8325,173.17555556,Casco Cove CGS
739,ATW,44.25805556,-88.51916667,Outagamie County Regional
742,ATY,44.91388889,-97.15472222,Watertown Regional
752,AUG,44.32055556,-69.79722222,Augusta State
757,AUK,62.68305556,-164.72222222,Alakanuk Airport
759,AUM,43.66277778,-92.93305556,Austin Municipal
761,AUN,38.95472222,-121.08166667,Auburn Municipal
763,AUO,32.615,-85.43388889,Auburn University Regional
772,AUS,30.19444444,-97.67,Austin - Bergstrom International
775,AUW,44.92638889,-89.62666667,Wausau Downtown
782,AUZ,41.77194444,-88.47555556,Aurora Municipal
789,AVL,35.43611111,-82.54194444,Asheville Regional
794,AVO,27.59138889,-81.52888889,Avon Park Executive
797,AVP,41.33833333,-75.72333333,Wilkes Barre Scranton International
801,AVW,32.40944444,-111.21833333,Marana Regional
808,AWM,35.135,-90.23444444,West Memphis Municipal
812,AWX,32.33083333,-102.52972222,Andrews County
819,AXB,44.31666667,-75.89972222,Maxson Airfield
831,AXN,45.86638889,-95.39472222,Chandler Field
836,AXS,34.69888889,-99.33833333,Altus/Quartz Mountain Regional
842,AXV,40.49361111,-84.29805556,Neil Armstrong
844,AXX,36.42194444,-105.29,Angel Fire
854,AYS,31.24833333,-82.39527778,Waycross-Ware County
860,AZ1,35.65055556,-112.14805556,Valle
862,AZ2,35.30555556,-112.19444444,H. A. Clark Memorial Field
864,AZ3,33.52694444,-112.29527778,Glendale Municipal
866,AZA,33.30777778,-111.65555556,Phoenix - Mesa Gateway
872,AZO,42.23444444,-85.55166667,Kalamazoo/Battle Creek International
875,B19,43.46416667,-70.4725,Biddeford Municipal
878,B21,45.08555556,-70.21638889,Sugarloaf Regional
882,BAB,39.13611111,-121.43666667,Beale AFB
886,BAD,32.50194444,-93.6625,Barksdale AFB
890,BAF,42.15805556,-72.71583333,Westfield Barnes Regional
906,BAM,40.59916667,-116.87444444,Battle Mountain Airport
910,BAR,55.36666667,-133.6,Baker AAF
926,BBC,28.97333333,-95.86333333,Bay City Municipal
948,BBX,40.1375,-75.26527778,Wings Field
957,BCB,37.20777778,-80.40777778,Virginia Tech/Montgomery Executive
958,BCC,57.6175,-155.86722222,Bear Creek Airport
961,BCE,37.70638889,-112.14583333,Bryce Canyon Airport
967,BCJ,37.96666667,-105.76666667,Baca Grande
975,BCS,29.86611111,-90.02222222,Southern Seaplane
976,BCT,26.37083333,-80.10833333,Boca Raton Public
984,BDE,48.72833333,-94.61222222,Baudette International
986,BDG,37.58333333,-109.48333333,Blanding Municipal
998,BDL,41.93916667,-72.68333333,Bradley International
1013,BDR,41.16333333,-73.12611111,Igor I Sikorsky Memorial
1020,BDY,43.08638889,-124.40777778,Bandon State
1026,BED,42.47,-71.28888889,Laurence G Hanscom Field
1038,BEH,42.12861111,-86.42611111,Southwest Michigan Regional
1054,BET,60.77861111,-161.83722222,Bethel Airport
1063,BFB,58.18333333,-152.13333333,Blue Fox Bay Airport
1065,BFD,41.80305556,-78.64,Bradford Regional
1068,BFF,41.87416667,-103.59555556,Western Neb. Regional/William B. Heilig Field
1070,BFI,47.53,-122.30194444,Boeing Field/King County International
1072,BFK,39.70166667,-104.75166667,Buckley AFB
1075,BFL,35.43388889,-119.05777778,Meadows Field
1077,BFM,30.62666667,-88.06805556,Mobile Downtown
1085,BFP,40.7725,-80.39138889,Beaver County
1088,BFR,38.84,-86.44527778,Virgil I Grissom Municipal
1093,BFT,32.41222222,-80.63444444,Beaufort County
1099,BGD,35.70083333,-101.39361111,Hutchinson County
1101,BGE,30.97166667,-84.63694444,Decatur County Industrial Air Park
1113,BGM,42.20833333,-75.97972222,Greater Binghamton/Edwin A. Link Field
1121,BGQ,61.53472222,-149.8125,Big Lake Airport
1123,BGR,44.8075,-68.82805556,Bangor International
1125,BGS,32.2125,-101.52166667,Big Spring McMahon-Wrinkle
1127,BGT,34.59583333,-113.17027778,Bagdad Airport
1140,BHB,44.44972222,-68.36166667,Hancock County-Bar Harbor
1143,IFP,35.15583333,-114.55944444,Laughlin/Bullhead International
1166,BHM,33.56388889,-86.75222222,Birmingham-Shuttlesworth International
1192,BIC,57.66666667,-157.58333333,Big Creek Airport
1194,BID,41.16805556,-71.57777778,Block Island State
1196,BIE,40.30138889,-96.75416667,Beatrice Municipal
1198,BIF,31.84944444,-106.38,Biggs AAF
1200,BIG,63.99472222,-145.72027778,Allen AAF
1202,BIH,37.37305556,-118.36361111,Eastern Sierra Regional
1206,BIL,45.80777778,-108.54277778,Billings Logan International
1220,BIS,46.77277778,-100.74583333,Bismarck Municipal
1224,BIX,30.41055556,-88.92444444,Keesler AFB
1225,BJC,39.90888889,-105.11722222,Rocky Mountain Metropolitan
1229,BJI,47.51083333,-94.93472222,Bemidji Regional
1232,BJJ,40.87472222,-81.88833333,Wayne County
1250,BKC,65.98166667,-161.14916667,Buckland Airport
1252,BKE,44.83722222,-117.80916667,Baker City Municipal
1253,BKF,58.6,-156.23333333,Brooks Lake Airport
1254,BKG,36.53194444,-93.20055556,Branson Airport
1256,BKH,22.02277778,-159.785,Barking Sands PMRF
1264,BKL,41.51777778,-81.68277778,Burke Lakefront
1280,BKW,37.78722222,-81.12416667,Raleigh County Memorial
1283,BKX,44.30444444,-96.81888889,Brookings Regional
1295,BLD,35.9475,-114.86138889,Boulder City Municipal
1299,BLF,37.29583333,-81.20777778,Mercer County
1303,BLH,33.61916667,-114.71694444,Blythe Airport
1305,BLI,48.79277778,-122.5375,Bellingham International
1313,BLM,40.18666667,-74.12444444,Monmouth Executive
1327,BLV,38.54527778,-89.83527778,Scott AFB/MidAmerica
1337,BMC,41.55444444,-112.06222222,Brigham City Airport
1344,BMG,39.14611111,-86.61666667,Monroe County
1348,BMI,40.47722222,-88.91583333,Central Illinois Regional
1352,BML,44.57527778,-71.17583333,Berlin Regional
1364,BMX,59.36111111,-155.25888889,Big Mountain AFS
1366,BNA,36.12444444,-86.67805556,Nashville International
1373,BNF,57.08916667,-134.83138889,Warm Spring Bay Seaplane Base
1376,BNG,33.9225,-116.85083333,Banning Municipal
1381,BNL,33.25805556,-81.38805556,Barnwell Regional
1385,BNO,43.59194444,-118.95555556,Burns Municipal
1405,BOI,43.56444444,-116.22277778,Boise Air Terminal
1409,BOK,42.07444444,-124.29,Brookings Airport
1423,BOS,42.36305556,-71.00638889,Logan International
1425,BOW,27.94333333,-81.78333333,Bartow Municipal
1440,BPT,29.95083333,-94.02055556,Jack Brooks Regional
1446,BQK,31.25916667,-81.46638889,Brunswick Golden Isles
1456,BQV,58.45555556,-135.88333333,Bartlett Cove Seaplane Base
1468,BRD,46.40416667,-94.13361111,Brainerd Lakes Regional
1472,BRG,37.11666667,-82.81666667,Whitesburg Municipal
1479,BRL,40.78333333,-91.12555556,Southeast Iowa Regional
1485,BRO,25.90694444,-97.42583333,Brownsville South Padre Island International
1505,BRW,71.28472222,-156.76861111,Wiley Post/Will Rogers Memorial
1507,BRY,37.81444444,-85.49972222,Samuels Field
1529,BSQ,31.36388889,-109.88305556,Bisbee Municipal
1538,BSW,60.42305556,-146.14583333,Boswell Bay Airport
1551,BTI,70.13388889,-143.58194444,Barter Island LRRS
1559,BTL,42.30638889,-85.25,W K Kellogg
1561,BTM,45.95472222,-112.4975,Bert Mooney
1563,BTP,40.77666667,-79.95111111,Butler County/K. W. Scholter Field
1565,BTR,30.53277778,-91.15,Baton Rouge Metropolitan/Ryan Field
1571,BTT,66.91388889,-151.52916667,Bettles Airport
1576,BTV,44.47194444,-73.15333333,Burlington International
1579,BTY,36.86111111,-116.78638889,Beatty Airport
1596,BUF,42.94055556,-78.73055556,Buffalo Niagara International
1602,BUM,38.28972222,-94.34027778,Butler Memorial
1612,BUR,34.20055556,-118.35861111,Bob Hope
1630,BVD,53.8325,-166.3025,Beaver Inlet Seaport
1636,BVO,36.76333333,-96.01111111,Bartlesville Municipal
1638,BVR,45.69222222,-85.56666667,Beaver Island
1639,BVX,35.72611111,-91.6475,Batesville Regional
1641,BVY,42.58416667,-70.91611111,Beverly Municipal
1646,BWD,31.79361111,-98.95638889,Brownwood Regional
1653,BWG,36.96444444,-86.41972222,Bowling Green-Warren County Regional
1659,BWI,39.17527778,-76.66833333,Baltimore/Washington International Thurgood Marshall
1663,BWM,46.18694444,-103.42805556,Bowman Municipal
1672,BXC,42.48472222,-71.54444444,Sheraton Inn Heliport
1678,BXS,33.25916667,-116.32083333,Borrego Valley
1681,BYA,64.07833333,-141.11333333,Boundary Airport
1685,RKH,34.98777778,-81.05722222,Rock Hill/York County/Bryant Field
1687,BYG,44.38111111,-106.72166667,Johnson County
1690,BYH,35.96444444,-89.94388889,Arkansas International
1692,BYI,42.5425,-113.77166667,Burley Municipal
1695,MI5,45.16583333,-84.92416667,Boyne Mountain
1705,BYW,48.57888889,-122.82638889,Blakely Island Airport
1717,BZN,45.7775,-111.15194444,Bozeman Yellowstone International
1724,BZT,28.98222222,-95.57972222,Eagle Air Park
1732,C01,34.21361111,-119.09444444,Camarillo Airport
1734,C02,35.32472222,-118.99611111,Bakersfield Municipal
1750,CAD,44.27527778,-85.41888889,Wexford County
1753,CAE,33.93888889,-81.11944444,Columbia Metropolitan
1766,CAK,40.915,-81.44361111,Akron-Canton Regional
1778,CAR,46.87166667,-68.01805556,Caribou Municipal
1793,CBA,57.73777778,-135.12555556,Corner Bay Airport
1800,CBE,39.61555556,-78.76083333,Greater Cumberland Regional
1802,CBF,41.26,-95.75861111,Council Bluffs Municipal
1806,CBK,39.40388889,-101.04666667,Murray
1810,CBM,33.64527778,-88.44583333,Columbus AFB
1849,CCR,37.98972222,-122.05694444,Buchanan Field
1864,CCY,43.0725,-92.61083333,Northeast Iowa Regional
1869,CDB,55.20527778,-162.72444444,Cold Bay Airport
1871,CDC,37.70083333,-113.09888889,Cedar City Regional
1879,CDH,33.62277778,-92.76333333,Harrell Field
1883,CDL,65.90777778,-161.92638889,Candle 2
1885,CDN,34.28361111,-80.56472222,Woodward Field
1887,CDR,42.8375,-103.09527778,Chadron Municipal
1890,CDV,60.49166667,-145.4775,Merle K Mudhole Smith
1892,CDW,40.87527778,-74.28138889,Essex County
1894,CEA,37.64861111,-97.25055556,Cessna Aircraft Field
1897,CEC,41.78027778,-124.23666667,Jack McNamara Field
1901,CEF,42.19388889,-72.53472222,Westover ARB Metropolitan
1914,CEM,65.57388889,-144.78083333,Central Airport
1934,CEU,34.67222222,-82.88583333,Oconee County Regional
1937,CEV,39.69805556,-85.13111111,Mettel Field
1939,CEW,30.77888889,-86.52222222,Bob Sikes
1941,CEX,65.05194444,-146.0475,Chena Hot Springs Airport
1943,CEY,36.66444444,-88.37277778,Kyle-Oakley Field
1945,CEZ,37.30305556,-108.62805556,Cortez Municipal
1946,CFA,58.21666667,-157.5,Coffee Point Airport
1963,CFT,32.95694444,-109.21111111,Greenlee County
1970,CFV,37.09388889,-95.57194444,Coffeyville Municipal
1971,CGA,55.47916667,-133.14611111,Craig Seaplane Base
1977,CGE,38.53944444,-76.03027778,Cambridge-Dorchester
1979,CGF,41.565,-81.48638889,Cuyahoga County
1983,CGI,37.22527778,-89.57083333,Cape Girardeau Regional
2000,CGS,38.98055556,-76.92222222,College Park Airport
2002,CGX,41.85888889,-87.60833333,Meigs Field
2006,CGZ,32.955,-111.76694444,Casa Grande Municipal
2008,CHA,35.03527778,-85.20361111,Lovell Field
2012,CHD,33.26916667,-111.81111111,Chandler Municipal
2019,CHI,41.87388889,-87.75555556,Chicago Metropolitan Area
2022,CHL,44.52361111,-114.21805556,Challis Airport
2026,CHO,38.13861111,-78.45277778,Charlottesville Albemarle
2028,CHP,65.48583333,-144.61166667,Circle Hot Springs Airport
2033,CHS,32.89861111,-80.04055556,Charleston AFB/International
2036,CHU,61.57916667,-159.21555556,Chuathbaluk Airport
2043,CHZ,42.57944444,-121.87888889,Chiloquin State
2046,CIB,33.405,-118.41583333,Catalina
2048,CIC,39.79527778,-121.85833333,Chico Municipal
2051,CID,41.88472222,-91.71083333,The Eastern Iowa
2053,CIG,40.49527778,-107.52166667,Craig-Moffat
2059,CIK,66.645,-143.74,Chalkyitsik Airport
2062,CIL,64.89666667,-163.70361111,Council Airport
2065,CIN,42.04666667,-94.78861111,Arthur N Neu
2070,CIR,37.06416667,-89.21944444,Cairo Regional
2073,CIU,46.25083333,-84.4725,Chippewa County International
2074,CIV,55.24777778,-132.32361111,Chomley Airport
2087,CJI,60.50277778,-147.94027778,Crafton Island Airport
2094,CJW,39.38722222,-97.15722222,Clay Center Municipal
2096,CKB,39.29666667,-80.22805556,North Central West Virginia
2098,CKD,61.86777778,-158.135,Crooked Creek Airport
2099,CKE,38.93472222,-122.62222222,Pearce Field
2102,CKM,34.29972222,-90.51222222,Fletcher Field
2107,CKU,60.54388889,-145.72666667,Cordova Municipal
2109,CKV,36.62194444,-87.415,Outlaw Field
2112,CKX,64.06666667,-141.95138889,Chicken Airport
2122,CLD,33.12833333,-117.28,McClellan-Palomar
2125,CLE,41.40944444,-81.85472222,Cleveland-Hopkins International
2126,CLF,64.30166667,-149.11777778,Clear Mews
2128,CLG,36.16222222,-120.29472222,New Coalinga Municipal
2132,CLI,44.61333333,-88.73083333,Clintonville Municipal
2139,CLK,35.53833333,-98.93277778,Clinton Regional
2141,CLL,30.58861111,-96.36388889,Easterwood Field
2143,CLM,48.12027778,-123.49972222,William R. Fairchild International
2148,CLP,58.83361111,-158.52944444,Clarks Point Airport
2151,CLR,33.13138889,-115.52138889,Cliff Hatfield Memorial
2154,CLS,46.67694444,-122.98277778,Chehalis Centralia
2157,CLT,35.21361111,-80.94916667,Charlotte Douglas International
2159,CLU,39.26194444,-85.89638889,Columbus Municipal
2181,CMH,39.99694444,-82.89222222,Port Columbus International
2183,CMI,40.03888889,-88.27777778,University of Illinois/Willard
2203,CMX,47.16833333,-88.48916667,Houghton County Memorial
2215,CNE,38.42861111,-105.10694444,Fremont County
2218,CNK,39.54916667,-97.65222222,Blosser Municipal
2221,CNM,32.3375,-104.26333333,Cavern City Air Terminal
2223,CNO,33.97472222,-117.63638889,Chino Airport
2231,CNW,31.63777778,-97.07416667,TSTC Waco
2235,CNY,38.755,-109.75472222,Canyonlands Field
2237,CO3,36.68166667,-121.76166667,Marina Municipal
2240,COA,38.03055556,-120.41444444,Columbia Airport
2244,COD,44.52027778,-109.02388889,Yellowstone Regional
2246,COE,47.77444444,-116.81944444,Coeur d'Alene - Pappy Boyington Field
2250,COF,28.235,-80.61,Patrick AFB
2260,COM,31.84111111,-99.40361111,Coleman Municipal
2262,CON,43.20277778,-71.50222222,Concord Municipal
2268,COS,38.80583333,-104.70083333,City of Colorado Springs Municipal
2274,COT,28.45583333,-99.21722222,Cotulla-La Salle County
2276,COU,38.81805556,-92.21972222,Columbia Regional
2295,CPR,42.90583333,-106.46361111,Casper/Natrona County International
2296,CPS,38.57138889,-90.15722222,Bi-State Parks
2310,CQL,39.38888889,-107.16,Glen-Aspen
2313,HCW,34.71277778,-79.95694444,Cheraw Municipal/Lynch Bellinger Field
2322,CRE,33.81166667,-78.72388889,Grand Strand
2324,CRG,30.33638889,-81.51444444,Jacksonville Executive at Craig
2337,CRP,27.77111111,-97.50111111,Corpus Christi International
2343,CRS,32.02805556,-96.40055556,C David Campbell Field-Corsicana Municipal
2353,CRW,38.37583333,-81.59305556,Yeager
2354,CRX,34.915,-88.60361111,Roscoe Turner
2357,CSE,38.85194444,-106.93277778,Buckhorn Ranch
2360,CSG,32.51638889,-84.93888889,Columbus Airport
2365,CSM,35.33972222,-99.20055556,Clinton Sherman
2367,CSN,39.19222222,-119.7325,Carson
2368,CSP,58.19916667,-136.63888889,Cape Spencer C.G. Helipad
2375,CSV,35.95138889,-85.085,Crossville Memorial-Whitson Field
2379,CTB,48.60833333,-112.37611111,Cut Bank International
2385,CTH,39.97888889,-75.86555556,Chester County G. O. Carlson
2392,CTO,40.915,-72.79194444,Calverton Executive Airpark
2399,CTW,34.73,-112.03527778,Cottonwood Airport
2401,CTX,42.59277778,-76.215,Cortland County Chase Field
2403,CTY,29.63555556,-83.10472222,Cross City Airport
2405,CUB,33.97055556,-80.99527778,Jim Hamilton L. B. Owens
2426,CUW,57.94166667,-134.75,Cube Cove Airport
